STATE,NAME,ADDRESS,TELEPHONE NUMBER
JOHOR,PUSAT JAGAAN PERTUBUHAN PERKHIDMATAN INTERVENSI AWAL,"NO. 29-35, JALAN SUSUR PERDANA UTAMA, TAMAN BUKIT PERDANA, 83000 , JOHOR",07-4352145 / 012-7720973
JOHOR,PUSAT JAGAAN BENGKEL SAMPUL SURAT [J/PJB OKU 014/2016] [27.04.2016 - 26.04.2021] - KEDIAMAN / NGO,"BATU 4,  JALAN KLUANG,  83000 BATU PAHAT, JOHOR",07-4312915 / 013-7727881
JOHOR,PUSAT JAGAAN IMAN TAMAN MANIS [J/PJH KK 006/2016] [16.03.2016 - 15.03.2021] - HARIAN / SWASTA,"NO. 5, JALAN MANIS 5/3,  TAMAN MANIS,  PARIT RAJA 86400 BATU PAHAT, JOHOR",013-7727881
JOHOR,PUSAT JAGAAN ERN TIEN NURSING HOME,"NO. 40A,  JALAN GOMBAK,  PESERAI, 83000 BATU PAHAT, JOHOR",012-7593433 / 012-7671092
JOHOR,PUSAT JAGAAN WARGA TUA MAIMUNAH,"NO. 11, JALAN TANAH MERAH, TAMAN TANAH MERAH,  83000 BATU PAHAT, JOHOR",019-6550135
JOHOR,PERTUBUHAN PEMULIHAN KAWASAN JOHOR BAHRU (JARO),"BANGUNAN JARO,  LOT 11742, JALAN SUNGAI CHAT  JOHOR BAHRU 80100 JOHOR BAHRU, JOHOR",07-2245632
JOHOR,PERSATUAN KEBAJIKAN ORANG-ORANG ISTIMEWA [J/PJB OKU 047/2017] [28.8.2017 - 27.8.2022] - KEDIAMAN / NGO,"NO. 2, JALAN BANJARAN 6,  KEMPAS BARU,  JOHOR BAHRU 81200 JOHOR BAHRU, JOHOR",07-2382612/ 016-7353236
JOHOR,RUMAH CHESHIRE JOHOR [J/PJB OKU 036/2016] [7.9.2016 - 6.9.2021] - KEDIAMAN / NGO,"JALAN JUMAAT,  KG. UNGKU MOHSIN, JOHOR BAHRU 80350 JOHOR BAHRU, JOHOR",07-2371335
JOHOR,ALDA HOMES ELDER CARE [J/PJB WT 047/2016] [14.11.2016 - 14.1.2022] - KEDIAMAN/ SWASTA,"NO. 40, JALAN KERANJI,  TAMAN MELODIES, JOHOR BAHRU 80250 JOHOR BAHRU, JOHOR",07-3621289/ 012-4330018
JOHOR,PERSATUAN SINDROM DOWN NEGERI JOHOR ( PSDNJ) [J/PJH OKU 056/2016] [19.12.2016 - 18.12.2021] - HARIAN / SWASTA,"NO.54 JALAN INDAH 6/3, TAMAN BUKIT INDAH  JOHOR BAHRU 81200 JOHOR BAHRU, JOHOR",07-2327705/012-7709060
JOHOR,PUSAT JAGAAN PERSATUAN PRIHATIN ORANG-ORANG KURANG CERGAS [J/PJH OKU 025/2017] [3.4.2017 - 2.4.2022] - HARIAN / SWASTA,"NO.5 EDUCATION HUB,  JALAN PERSIARAN SUTERA DANGA 1, TAMAN SUTERA DANGA SKUDAI, JOHOR 81300 JOHOR BAHRU, JOHOR",07-5563743
KEDAH,PUSAT JAGAAN RUMAH AMAL BALING [K/PJH OKU 011/2016] [19.06.2016 - 18.06.2021] - HARIAN / NGO,"JALAN HOSPITAL BALING 09100 BALING, KEDAH",04 - 4704171
KEDAH,PUSAT JAGAAN RUMAH AMAL KULIM [K/PJH OKU 003/2016] [20.01.2016 - 19.01.2021] - HARIAN / NGO,"NO.7A, JALAN BUKIT AWI KULIM, 09000 KULIM, KEDAH",04 - 4953271 / 019-4127347
KEDAH,PUSAT JAGAAN OKU SUPERHOPE [K/PJH OKU 027/2016] [10.11.2016 - 09.11.2021] - HARIAN / SWASTA,"NO.1749 C & 1749 D,  LORONG TIONG,  ALOR SETAR, 05200 KOTA SETAR, KEDAH",04 - 7351048/04-7335757
KEDAH,PUSAT JAGAAN HARIAN SINDROM DOWN KEDAH [K/PJH OKU 022/2016] [06.11.2016 - 05.11.2021] - HARIAN / NGO,"NO.414, LORONG TERATAI PUTIH 1, TAMAN BERJAYA, ALOR SETAR 05050 KOTA SETAR, KEDAH",04-7724019
KEDAH,PUSAT JAGAAN HARIAN SINAR HARAPAN [K/PJH OKU 010/2017] [15.05.2017 - 14.05.2022] - HARIAN / NGO,"3218-A, LORONG ALOR SEMADOM,  JALAN SULTANAH,  ALOR SETAR, 05350 KOTA SETAR, KEDAH",04-7303736
KEDAH,PUSAT JAGAAN RUMAH MENTARI KULIM (OKU) [K/PJH OKU 007/2016] [29.02.2016 - 28.02. 2021] - HARIAN / NGO,"NO. 23, LORONG SEKOLAH CONVENT  JALAN BUKIT AWI  KULIM  09000 KULIM, KEDAH",04-4931033
KEDAH,PUSAT JAGAAN HARIAN PERSATUAN MEMBANTU OKU (AKAL) NEGERI KEDAH [K/PJH OKU 008/2014] [31.12.2014 - 30.12.2019] - HARIAN / NGO,"LOT 387, PINANG JAYA  BUKIT PINANG  ALOR SETAR 06620 KOTA SETAR, KEDAH",013-4800052
KEDAH,PUSAT JAGAAN PERSATUAN KEBANGSAAN AUTISM MALAYSIA [K/PJH OKU 009/2014] [31.12.2014 - 30.12.2019] - HARIAN / NGO,"NO.4010, LORONG KENARI 1, TAMAN PKNK  JALAN TUN RAZAK ALOR SETAR 05200 KOTA SETAR, KEDAH",04-7344033/03-78868233
KEDAH,PUSAT JAGAAN RUMAH AMAL YAN [K/PJH OKU 005/2016] [25.01.2016 - 24.01.2021] - HARIAN / NGO,"JALAN PEGAWAI  YAN 06900 YAN, KEDAH",04-4657263
KELANTAN,PERSATUAN KEBANGSAAN AUTISME MALAYSIA,"1587, TAMAN SP MOKASTURI BERSEBELAHAN USM DEMIT 16150 KOTA BHARU KELANTAN 16150 KOTA BHARU, KELANTAN",09-7654357
KELANTAN,DOWN SYNDROME DAY CARE CENTRE LIONS CLUB OF KOTA BHARU,"44-A, SEKSYEN 4, JALAN MERBAU 15300 KOTA BHARU KELANTAN 15300 KOTA BHARU, KELANTAN",NA
MELAKA,PUSAT JAGAAN HOPEHAVEN CENTRE FOR SPECIAL CHILDREN THE SALVATION ARMY - (H/PJH OKU 017/2015)(16.12.2015-15.12.2020)(H/NGO),"NO. 321, JALAN PARAMESWARA,  75000 MELAKA TENGAH, MELAKA",06-2831203/ 2882693
MELAKA,PUSAT JAGAAN PROGRAM INTERVENSI AUTISME NASOM MELAKA - (H/PJH OKU 006/2014)(07.07.2014-06.07.2019)HARIAN-NGO,"RUMAH BISTARI NO. 28,  KUARTERS KERAJAAN,  BUKIT PERINGGIT,  75400 MELAKA TENGAH, MELAKA",013-3419030
MELAKA,PERSATUAN KEBANGSAAN AUTISME MALAYSIA (THE NATIONAL AUTISM SOCIETY OF MALAYSIA) - (H/PJH OKU 011/2016)(7.03.2016-8.03.2021)(HARIAN/NGO),"RUMAH BISTARI NO. 48, KUARTERS KERAJAAN BUKIT PERINGGIT, 75400 MELAKA TENGAH, MELAKA",06-2865572 / 016-3142954
MELAKA,PERTUBUHAN PERKHIDMATAN KEBAJIKAN KRISTIAN SAYAP RAJAWALI MELAKA - (H/PJH OKU 010-2012)(17.12.2012-16.12.2017)(HARIAN/SWASTA),"440 C, JALAN TENGKERA, 75200 MELAKA TENGAH, MELAKA",06-2822434
MELAKA,"PERSATUAN KEBAJIKAN INSAN ISTIMEWA, MELAKA -(H/PJH OKU 010-2016)(27.04.2016-26.04.2021)(HARIAN/NGO)","NO. 55 & 57, JALAN SP 4, TAMAN SEMABOK PERDANA, SEMABOK, 75050 MELAKA TENGAH, MELAKA",06-2865572 / 016-3142954
MELAKA,PERSATUAN KANNER MELAKA - (H/PJH OKU 031/2016)(17.10.2016-16.10.2021)(HARIAN/SWASTA),"NO. 1, JALAN SP 4,  TAMAN SEMABOK PERMAI, BUKIT GODEK 75050 MELAKA TENGAH, MELAKA",016-3972670 / 012-2668348
MELAKA,PUSAT PENJAGAAN ORANG KURANG UPAYA KASIH SAYANG(K/PJB OKU 006/2017)(21.03.2017-20.03.2022) (BERKEDIAMAN/SWASTA),"NO 14,JALAN KUININ 2,TAMAN WIDURI, BACHANG 75450 MELAKA 75450 MELAKA TENGAH, MELAKA",0126049554 / 063376449
MELAKA,BEAUTIFUL GATE FOUNDATION FOR THE DISABLED(H/PJH OKU 009-2017)(30.03.2017-29.03.2022) (HARIAN)(SWASTA),"NO 31,JALAN MJ 17,TAMAN MERDEKA JAYA, BATU BERENDAM 75350 MELAKA 75350 MELAKA TENGAH, MELAKA",019-3848440
N.SEMBILAN,PUSAT JAGAAN PERSATUAN BERDIKARI SEREMBAN,"NO. 380-381, JLN KENANGA 1,  TMN BUKIT CHEDANG, 70300 SEREMBAN, NEGERI SEMBILAN",06-7632005 / 012-6011338
N.SEMBILAN,PUSAT JAGAAN KEPAYANG AFFECTION HOME,"LOT 2929/13, JALAN LABU BT 3 ½,  70200 SEREMBAN, NEGERI SEMBILAN",06-7631223
N.SEMBILAN,PUSAT JAGAAN PERSATUAN KEBAJIKAN VINASHINI,"10M, BATU 4 ½, TAMAN KUALA SAWAH,  MAMBAU  70300 SEREMBAN, NEGERI SEMBILAN",06-7670570 / 06-6313080
N.SEMBILAN,PUSAT JAGAAN ORANG KURANG UPAYA SI PUTIH,"NO.2938 JALAN SEROJA 14, TAMAN KIAN KEE,  70450 SEREMBAN, NEGERI SEMBILAN",012-9754065
N.SEMBILAN,"PUSAT JAGAAN PERKEMBANGAN INSAN ISTIMEWA SEREMBAN, NEGERI SEMBILAN","NO.6A JALAN MERBUK 2, BLOSSOM PARK, ,  TAMAN BUNGA BLOSSOM 70100 SEREMBAN, NEGERI SEMBILAN",012-3818750
N.SEMBILAN,USAT JAGAAN HOUSE OF MEGAWAYS (PUSAT JAGAAN ORANG KURANG UPAYA),"LOT.396/52, TMN MEGAWAY, JALAN SIKAMAT,  70400 SEREMBAN, NEGERI SEMBILAN",019-6219723
N.SEMBILAN,PUSAT JAGAAN BEAUTIFUL GATE FOUNDATION SEREMBAN,"NO.52, KAMPUNG BARU MAMBAU,  70300 SEREMBAN, NEGERI SEMBILAN",06-633303 / 012-4346971
N.SEMBILAN,PERSATUAN KEBANGSAAN AUTISME MALAYSIA,"LOT 5020, JALAN DUSUN, TAMAN DATO’ SHAHBANDAR,  70100 SEREMBAN, NEGERI SEMBILAN",03-78868233
N.SEMBILAN,PUSAT JAGAAN BENGKEL SERI PERKASA JOHOL (N/PJB OKU 10/2016) (25.5.2016-24.5.2021) - BERKEDIAMAN/NGO,"NO. 28, KAMPUNG KUALA JOHOL  71550 KUALA PILAH, NEGERI SEMBILAN",06-4367408
N.SEMBILAN,PUSAT JAGAAN LUTHER RIA (N/PJH OKU 02/2017) (12.1.2017 - 11.1.2022) - HARIAN/NGO,"NO. 188, JALAN LAMA OFF JALAN DATO' K. PATHMANATHAN 71000 PORT DICKSON PORT DICKSON, NEGERI SEMBILAN",016-2771255/011-14726140
P.PINANG,PUSAT JAGAAN RUMAH KESAYANGAN,"NO. 57, CHANGKAT MUHIBBAH 14000 BUKIT MERTAJAM 14000 SEBERANG PERAI TENGAH, PULAU PINANG",04-5399418
P.PINANG,PUSAT PERSATUAN DOWN SYNDROME PULAU PINANG,"10, LEBUHRAYA ROSE  10250 TIMUR LAUT, PULAU PINANG",NA
P.PINANG,CU DAYCARE CENTRE SDN. BHD.,"19, 1ST AVENUE RESERVOIR GARDEN 10250 TIMUR LAUT, PULAU PINANG",NA
P.PINANG,ST. NICHOLAS' HOME,"NO. 4, JALAN BAGAN JERMAL  13400 SEBERANG PERAI UTARA, PULAU PINANG",NA
P.PINANG,PERSATUAN KEBANGSAAN AUTISME MALAYSIA (NASOM),"NO.32,34 JALAN PANTAI JEREJAK 1 BAYAN LEPAS 11900 BARAT DAYA, PULAU PINANG",04-6587034
P.PINANG,PERSATUAN KEBANGSAAN AUTISME MALAYSIA (NASOM),"NO.8 LORONG MOLEK 3  BAGAN AJAM BUTTERWORTH 13000 SEBERANG PERAI UTARA, PULAU PINANG",04-3232252
P.PINANG,RUMAH AMAL CHESHIRE PULAU PINANG,"NO. 409 BABINGTON AVENUE 10450 TIMUR LAUT, PULAU PINANG",04-2620942
P.PINANG,PUSAT HARIAN HARAPAN BAKTI,"JALAN SUNGAI NIPAH  BALIK PULAU 11000 BARAT DAYA, PULAU PINANG",04-8669506
PAHANG,"PERSATUAN KEBANGSAAN AUTISME MALAYSIA (CAWANGAN KUANTAN), C/P JH OKU 002/2016, 1.3.16-28.2.21","NO. 631, LORONG SELAMAT 21  OFF JALAN TELUK SISEK  25594 KUANTAN, PAHANG",09-5671070
PAHANG,"PERSATUAN PEMULIHAN ORANG CACAT (PPOC), BENGKEL SAMPUR SURAT, C/P JB OKU 004/2016, 1.3.16-28.2.21","NO. AB 27  BENGKEL SAMPUL SURAT, SUNGAI LEMBING  26200 KUANTAN, PAHANG",012-9812281 / 09-5411229
PAHANG,"PUSAT JAGAAN METAMORPHOSIS EDUCARE,C/P JH OKU 015/2016, 20.5.16-19.5.21","NO A 6922  LORONG KUBANG BUAYA 33 25250 KUANTAN, PAHANG",017-9421428
PAHANG,"PUSAT JAGAAN RUMAH SEJAHTERA KDS, C/P JB OKU 017/2018, 20.5.16-19.5.21","LOT 1848  JALAN PAYA TERATAI KAMPUNG TENGKU BELENGGU LEBAK  28500 TEMERLOH, PAHANG",012-9504278
PAHANG,"PERSATUAN PEMULIHAN SINAR SURIA BAGI ORANG-ORANG CACAT DAERAH TEMERLOH, C/P JH OKU 025/2016, 14.7.16-13.7.21","KM 2.5 JALAN MARAN 28500 TEMERLOH, PAHANG",09-2971897
PAHANG,"PUSAT JAGAAN SILOAM HOUSE, C/P JB OKU 023/2016, 21.11.16 - 20.11.21","LOT 3415, JALAN PAYA PELANTAR KAMPUNG PAYA PELANTAR KARAK 28600 BENTONG, PAHANG",012-3229626
PAHANG,"PUSAT JAGAAN DAN LATIHAN PERTANIAN ORANG BUTA,C/P JH OKU 034/2016,21.11.16-20.11.21","TAMAN HARAPAN 28000 TEMERLOH, PAHANG",09-2972303
PAHANG,"PERTUBUHAN PENGURUSAN PUSAT JAGAAN ORANG-ORANG ISTIMEWA, C/P JB KK 020/2017, 21.6.17-206.22","NO. 2 JALAN TANJONG KERAYONG MENTAKAB 28400 TEMERLOH, PAHANG",09-2783658
PERAK,"PERSATUAN DAY BREAK UNTUK KEBAJIKAN ORANG-ORANG CACAT, KINTA, PERAK","LOT 75242, JALAN PULAI RPT PENGKALAN PEGOH LAHAT 31500 KINTA, PERAK",05-3235909
PERAK,"PERSATUAN UNTUK INSAN BERMASALAH INTELEK, PERAK (SEKOLAH SEMANGAT MAJU, SITIAWAN)","NO. 75, JALAN DATUK AHMAD YUNOS SITIAWAN 32000 MANJUNG (DINDING), PERAK",05-6922773
PERAK,"PERTUBUHAN HARAPAN BARU UNTUK AUTISME IPOH, PERAK","NO. 88, JALAN BULAN TAMAN WESTPOOL IPOH 31400 KINTA, PERAK","05-5467827, 016-3063557"
PERAK,PERSATUAN KEBANGSAAN AUTISME MALAYSIA (THE NATIONAL AUTISTIC SOCIETY OF MALAYSIA - NASCM),"NO. 6 & 8, TINGKAT TAMAN 1 IPOH GARDEN SOUTH IPOH 31400 KINTA, PERAK",05-5483570
PERAK,PERTUBUHAN PENYAYANG DAN PERTOLONGAN KEPADA INDIVIDU BERMASALAH PEMBELAJARAN LMS PERAK (CHILD SOCIETY DAYCARE CENTRE),"NO. 236, JALAN TAMAN KERJASAMA TAMAN KERJASAMA TAIPING 34000 LARUT DAN MATANG, PERAK",012-6476491
PERAK,SEKOLAH SEMANGAT MAJU BATU GAJAH,"NO. 49, JALAN SULAIMAN BATU GAJAH 31000 KINTA, PERAK","05-3657098, 012-5401070"
PERAK,"PERSATUAN OHANA IPOH, PERAK","NO. 164, JALAN PERAJURIT TAMAN IPOH TIMUR IPOH 31400 KINTA, PERAK",019-5582633
PERAK,PUSAT JAGAAN HARIAN OKU (AKRAB),"NO. 12, JALAN SEPAKAT RAPAT SETIA IPOH 31350 KINTA, PERAK","05-3115509, 05-3111509, 013-5193100"
PERAK,"PERSATUAN PEMULIHAN SULTAN AZLAN SHAH, BAGI ORANG-ORANG ISTIMEWA PERAK","LOT 158413, LORONG BERCHAM 11 KG. BERCHAM IPOH 31400 KINTA, PERAK","012-5173186, 05-5481905"
PERAK,"PERSATUAN BAGI ORANG BUTA MALAYSIA, PUSAT LATIHAN DAN PEMULIHAN MAB (LEMBAH KINTA)","NO. 2A, PERSIARAN GUNUNG RAPAT 4 GUNUNG RAPAT IPOH 31350 KINTA, PERAK","019-6361074, 05-3139335, 05-3129335"
PERAK,RAY OF HOPE,"NO. 24 & 26, PERSIARAN BERCHAM SELATAN 31 TAMAN SRI KURAU IPOH 31400 KINTA, PERAK","019-5713229, 05-5488796"
PERAK,PERSATUAN KEBAJIKAN ORANG CACAT MANJUNG,"LOT 8094, JALAN MENON KG. SELAMAT SITIAWAN 32000 MANJUNG (DINDING), PERAK","012-5231283, 05-6913320"
PERAK,PUSAT JAGAAN RUMAH SRI PENNIEL,"NO. 48, TAMAN MELINTANG RIA JALAN BAGAN DATOK HUTAN MELINTANG 36400 HILIR PERAK, PERAK",019-5920594
PERAK,"PERSATUAN UNTUK INSAN BERMASALAH INTELEK, PERAK (SEKOLAH SEMANGAT MAJU, IPOH)","LOT 61106, LORONG TAWAS 29 KAMPUNG TAWAS IPOH 30100 KINTA, PERAK","05-5474229, 05-5470186"
PERAK,RUMAH BETHANY,"SIMPANG EMPAT HUTAN MELINTANG 36400 HILIR PERAK, PERAK",05-6411276
PERAK,"PERSATUAN KEBAJIKAN BAGI ORANG ISTIMEWA KAMPAR, PERAK","NO. 6019 & 6020, JALAN ANGKASA 1 TAMAN ANGKASA KAMPAR 31900 KINTA, PERAK","012-4599148, 05-4661568"
PERAK,"PERSATUAN UNTUK INSAN BERMASALAH INTELEK, PERAK (BENGKEL PERLINDUNGAN SEMANGAT MAJU, TAIPING)","NO. 703, LORONG 35 AULONG TAIPING 34000 LARUT DAN MATANG, PERAK","012-5156650, 05-8074675"
PERAK,"PERSATUAN UNTUK INSAN BERMASALAH INTELEK, PERAK (SEKOLAH SEMANGAT MAJU, TAIPING)","JKR 256, JALAN HANG JEBAT TAIPING 34000 LARUT DAN MATANG, PERAK","019-5503300, 05-8061790"
PERAK,"PERSATUAN BAGI ORANG-ORANG KURANG UPAYA KINTA SELATAN, KAMPAR ; BENGKEL JAYADIRI KAMPAR, KAMPAR, PERAK","LOT 312700, KAMPUNG TERSUSUN BATU KARANG JALAN IPOH / KAMPAR KAMPAR 31900 KINTA, PERAK","012-2891622, 05-4658687"
PERAK,"PERSATUAN PERKHIDMATAN KOMUNITI, TAIPING, PERAK","NO. 14, JALAN KING EDWARD, 34000 LARUT MATANG & SELAMA, PERAK","012-4547513, 05-8071501"
PERAK,PERSATUAN PEMULIHAN ORANG CACAT PERAK,"NO. 15, JALAN AMPANG BARU 6A AMPANG, IPOH 31350 KINTA, PERAK","019-5719463, 05-3115509, 05-3111509"
PERAK,PERSATUAN UNTUK INSAN BERMASALAH INTELEK (SEKOLAH SEMANGAT MAJU KUALA KANGSAR),"817N, KUARTERS KERAJAAN, BUKIT KERAJAAN, KUALA KANGSAR, 33000 KUALA KANGSAR, PERAK",05-7775501
PERAK,PERSATUAN UNTUK INSAN BERMASALAH INTELEK PERAK (SEKOLAH SEMANGAT MAJU SITIAWAN),"NO. 75, JALAN DATO' AHMAD YUNOS, SITIAWAN 32000 MANJUNG, PERAK","019-5428539, 05-6922773"
PERAK,"PERSATUAN UNTUK INSAN BERMASALAH INTELEK, PERAK (BENGKEL PERLINDUNGAN SEMANGAT MAJU, SITIAWAN)","NO. 137, JALAN SEJAHTERA 4,  MEDAN SEJAHTERA,  SITIAWAN 32000 MANJUNG, PERAK","016-5361503, 05-6913424"
PERAK,PERSATUAN KEBAJIKAN UNTUK ORANG CACAT KUALA KANGSAR 2008,"1532N, BANGUNAN JKR, JALAN TAIPING,  KUALA KANGSAR 33000 KUALA KANGSAR, PERAK",019-5555767
PERAK,"PERSATUAN DAYBREAK UNTUK KEBAJIKAN ORANG-ORANG CACAT, KINTA, PERAK [A/PJH OKU 002/2018][4/1/2018 - 3/1/2023]","LOT 75242, JALAN PULAI,  RPT PENGKALAN PEGOH SEBERANG LAHAT 31500 KINTA, PERAK","019-5134474, 05-3235908"
SABAH,PUSAT JAGAAN OKU TOLUMIS,"JALAN LAMA, PANTAI DALIT, KAMPUNG DUNGUNG, TUARAN 89208 KOTA KINABALU, SABAH",016-836 9216
SABAH,PUSAT JAGAAN SABAH CHESHIRE HOME SERVICES (SANDAKAN),"RUMAH WARGA TUA SRI HARAPAN, JALAN SIBUGA, BATU 5, SANDAKAN 90000 SANDAKAN, SABAH",089-227 716
SABAH,PUSAT JAGAAN SABAH CHESHIRE HOME SERVICES (KOTA KINABALU),"JALAN VAKASIONAL, KM 5,  OFF JALAN TUARAN, LIKAS 88100 KOTA KINABALU, SABAH",088-438 202
SARAWAK,PUSAT JAGAAN PERSATUAN AUTISTIK MIRI,"LOT 1111 JALAN GEIKE  OFF JALAN LIM CHEE HIAN  OFF JALAN TEMENGGONG OYONG  98150 MIRI, SARAWAK",085-439199/016-5763828
SARAWAK,PUSAT JAGAAN HARIAN PERSATUAN DISLEKSIA SARAWAK (DYSLEXIA ASSOCIATION OF SARAWAK),"BANGLO KALAKA (SRI MELUAN) LORONG MAXWELL  OFF JALAN TUN ABANG HAJI OPENG 93594 KUCHING, SARAWAK",012-8578331
SARAWAK,PUSAT JAGAAN PERSATUAN ORANG-ORANG PEKAK SARAWAK,"LOT 1860, BLOCK 10 KCLD  OFF JALAN LAKSAMANA CHENG HO  93594 KUCHING, SARAWAK",NA
SARAWAK,PUSAT JAGAAN SARAWAK CHESHIRE HOME,"LOT 962, BLOCK 10 KCLD  JALAN ONG TIANG SWEE  93594 KUCHING, SARAWAK",016-8675355
SARAWAK,PERSATUAN AUTISME KUCHING (KUCHING AUTISTIC ASSOCIATION)(KAA),"LOT 5492, BLOCK 225 KMLD, LORONG 15, JLN. DESA WIRA, BATU KAWA 93250 KUCHING, SARAWAK",013-8114807
SELANGOR,PUSAT JAGAAN SUMBER KAIROS [NO. DAFTAR : B/PJH OKU 001/2016] - HARIAN / SWASTA,"NO.8, JALAN SS 1/22A PETALING JAYA 47300 PETALING, SELANGOR",03-78753544 
SELANGOR,"PUSAT JAGAAN PERSATUAN ORANG KURANG UPAYA BANGSAR RIA, KUALA LUMPUR DAN SELANGOR [NO. DAFTAR : B/PJH OKU 004/2015] - HARIAN / NGO","584, JALAN 17/17 SEKSYEN 17 46400 PETALING, SELANGOR",03-79600560 / 012-2527180
SELANGOR,PUSAT JAGAAN TERAPI AUTISTIK NOURI [NO. DAFTAR : B/PJH OKU 001/2015] - HARIAN / SWASTA,"3A-1 & 5-1, JALAN PARAGON UTAMA 1, SELAYANG PARAGON UTAMA, BATU CAVES 68100 GOMBAK, SELANGOR",03-61272735 / 019-3811601
SELANGOR,PUSAT JAGAAN QAMARA [NO. DAFTAR : B/PJH OKU 002/2015] - HARIAN / SWASTA,"NO. 22A & 24A, TINGKAT SATU, JALAN PULAU TIOMAN U 10/R, GREENHILL, SEKSYEN U10 SHAH ALAM 40170 PETALING (SHAH ALAM), SELANGOR",012-3812184
SELANGOR,PUSAT JAGAAN SRI AUTISM LINK [NO. DAFTAR : B/PJH OKU 001/2014] - HARIAN / SWASTA,"D-1-48, BLOK DAHLIA, JALAN CEMPAKA KAMPUNG SUNGAI KAYU ARA, JALAN PJU 6A 47400 PETALING, SELANGOR",016-6348787
